name,breed,gender,age,weight,id,unavailable
Jacey - Adopted!,Great Dane - Labrador Retriever (mix),Female,2 years,60 lbs,11668,True
Jackpot Pup - Bingo - Adopted!,Labrador Retriever - Shepherd (mix),Male,10 weeks,10 lbs,11604,True
Jackpot Pup - Mega - Adopted!,Labrador Retriever - Shepherd (mix),Female,10 weeks,10 lbs,11610,True
Jammer,Hound (mix),Male,1 year,65 lbs,11756,False
Jelly - Adopted!,Shepherd - Labrador Retriever (mix),Male,3 months,15 lbs,11753,True
Michigan Pup - Ann Arbor - Adopted!,Terrier - Spaniel (mix),Female,9 weeks,5 lbs,11614,True
Michigan Pup - Apple - Adopted!,Terrier - Spaniel (mix),Female,9 weeks,5 lbs,11615,True
Michigan Pup - Dearborn - Adopted!,Terrier - Spaniel (mix),Female,9 weeks,5 lbs,11616,True
Michigan Pup - Detroit - Adopted!,Terrier - Spaniel (mix),Male,9 weeks,6 lbs,11617,True
Michigan Pup - Lansing - Adopted!,Terrier - Spaniel (mix),Male,9 weeks,6 lbs,11618,True
Michigan Pup - Robin - Adopted!,Terrier - Spaniel (mix),Female,9 weeks,5 lbs,11620,True
Milner - (Special Needs),English Pointer (purebred),Male,5 years,46 lbs,10625,False
Nimble Pup - Spry - Adopted!,Boxer - Shepherd (mix),Male,11 weeks,10 lbs,11560,True
Oink Pup - Basque - Adopted!,Labrador Retriever - Shepherd (mix),Female,11 weeks,10 lbs,11798,True
Oink Pup - Berkshire - Adopted!,Labrador Retriever - Shepherd (mix),Female,11 weeks,10 lbs,11799,True
Oink Pup - Chato - Adopted!,Labrador Retriever - Shepherd (mix),Female,11 weeks,10 lbs,11800,True
Oink Pup - Cinta - Adopted!,Labrador Retriever - Shepherd (mix),Male,11 weeks,10 lbs,11801,True
Oink Pup - Gascon - Adopted!,Labrador Retriever - Shepherd (mix),Male,11 weeks,10 lbs,11802,True
Oink Pup - Mukota - Adopted!,Labrador Retriever - Shepherd (mix),Female,11 weeks,10 lbs,11804,True
Oink Pup - Pietrain - Adopted!,Labrador Retriever - Shepherd (mix),Female,11 weeks,10 lbs,11805,True
Oink Pup - Piggy - Adopted!,Labrador Retriever - Shepherd (mix),Female,11 weeks,10 lbs,11806,True
Peanut Butter - Adopted!,Shepherd - Labrador Retriever (mix),Female,3 months,15 lbs,11752,True
Reina - Adopted!,Labrador Retriever - Shepherd (mix),Female,2 years,60 lbs,11725,True
Ripley - Adopted!,Shepherd - Terrier (mix),Male,3 months,10 lbs,11750,True
Shawndi,Labrador Retriever (purebred),Female,3 years,60 lbs,11842,False
Spooky Pup - Mummy - Adopted!,Labrador Retriever - Shepherd (mix),Female,3 months,10 lbs,11672,True
Starfish - Adopted!,Labrador Retriever - Hound (mix),Female,3 months,15 lbs,11757,True
Yoko - Adopted!,Boxer (purebred),Female,2 years,63 lbs,11365,True
Zipper - Adopted!,Labrador Retriever - Cattle Dog (mix),Female,2 years,40 lbs,11489,True
Zippy - Adopted!,Shepherd - Labrador Retriever (mix),Male,5 months,22 lbs,11794,True
Barcelona - Adopted!,Labrador Retriever - Shepherd (mix),Female,4 months,15 lbs,11636,True
Barnes - Waiting List Full,Labrador Retriever - Shepherd (mix),Female,5 months,10 lbs,11474,True
Bayleigh,Labrador Retriever (mix),Female,4 years,47 lbs,11547,False
Bobbie,Labrador Retriever - Shepherd (mix),Male,6 months,45 lbs,11646,False
Casper - Adopted!,Labrador Retriever (mix),Male,6 months,15 lbs,11644,True
Catamaran - Adopted!,Italian Greyhound (mix),Male,1 year,15 lbs,11586,True
Cider Pup - Applewine - Waiting List Full,Labrador Retriever - Shepherd (mix),Female,9 weeks,10 lbs,11681,True
Dainty - Waiting List Full,Hound (mix),Female,1 year,40 lbs,11405,True
Dante - Waiting List Full,Labrador Retriever - Pointer (mix),Male,1 year,45 lbs,11676,True
Deuce,Alaskan Malamute (purebred),Male,1 year,67 lbs,11509,False
Enos - Adopted!,Labrador Retriever (mix),Male,1 year,63 lbs,11591,True
Europa Pup - Callisto - Adopted!,Terrier (mix),Female,8 weeks,5 lbs,11532,True
Europa Pup - Galileo,Terrier (mix),Male,8 weeks,5 lbs,11533,False
Europa Pup - Jupiter - Adopted!,Terrier (mix),Female,8 weeks,5 lbs,11534,True
Europa Pup - Sagittarius - Adopted!,Terrier (mix),Female,8 weeks,5 lbs,11536,True
Europa Pup - Voyager - Adopted!,Terrier (mix),Male,8 weeks,5 lbs,11537,True
Faith - Waiting List Full,Spaniel - Terrier (mix),Female,2 years,15 lbs,11506,True
Faith Pup - Grace - Waiting List Full,Spaniel (mix),Female,7 weeks,3 lbs,11572,True
Faith Pup - Mercy - Waiting List Full,Spaniel (mix),Female,7 weeks,3 lbs,11573,True
Faith Pup - Valor - Waiting List Full,Spaniel (mix),Male,7 weeks,3 lbs,11574,True
Fall Pup - Autumn,Shepherd - Pug (mix),Female,8 weeks,7 lbs,11677,False
Fall Pup - Brisk,Shepherd - Pug (mix),Male,8 weeks,5 lbs,11678,False
Fall Pup - Flannel,Shepherd - Pug (mix),Male,8 weeks,5 lbs,11679,False
Fantasy - Waiting List Full,Labrador Retriever - Terrier (mix),Female,1 year,33 lbs,11592,True
Festival,Cattle Dog (mix),Female,2 years,28 lbs,11268,False
Florentine,Labrador Retriever - Whippet (mix),Female,8 months,40 lbs,11640,False
Gospel - Adopted!,Pit Bull Terrier (mix),Female,2 years,62 lbs,11442,True
Gunner,Labrador Retriever (mix),Male,8 months,52 lbs,11495,False
Hocus Pocus Pup - Mary - Adopted!,Shepherd - Shiba Inu (mix),Female,3 months,25 lbs,11641,True
Hocus Pocus Pup - Sarah - Adopted!,Shepherd - Shiba Inu (mix),Female,3 months,25 lbs,11642,True
Hocus Pocus Pup - Winifred - Adopted!,Shepherd - Shiba Inu (mix),Female,3 months,30 lbs,11643,True
Hola,Labrador Retriever - Staffordshire Bull Terrier (mix),Female,6 months,17 lbs,11639,False
Italic,Cattle Dog - Shepherd (mix),Female,2 years,50 lbs,11260,False
Kangaroo Pup - Wallaby,Labrador Retriever - Terrier (mix),Female,8 weeks,10 lbs,11584,False
Legend Pup - Atlantis - Adopted!,Doberman Pinscher - Collie (mix),Male,9 weeks,10 lbs,11498,True
Legend Pup - Bigfoot - Adopted!,Doberman Pinscher - Collie (mix),Male,9 weeks,10 lbs,11499,True
Legend Pup - Lady Godiva - Adopted!,Doberman Pinscher - Collie (mix),Female,9 weeks,10 lbs,11500,True
Lexie,Labrador Retriever - Australian Shepherd (mix),Female,6 years,80 lbs,11693,False
Lilly - Adopted!,Terrier (mix),Female,7 months,12 lbs,11637,True
Lolla - Waiting List Full,Labrador Retriever (mix),Female,10 months,88 lbs,11651,True
Nimble Pup - Agile - Waiting List Full,Boxer - Shepherd (mix),Female,7 weeks,10 lbs,11554,True
Nimble Pup - Bright - Waiting List Full,Boxer - Shepherd (mix),Female,7 weeks,10 lbs,11555,True
Nimble Pup - Light - Waiting List Full,Boxer - Shepherd (mix),Male,7 weeks,10 lbs,11556,True
Nimble Pup - Lithe - Waiting List Full,Boxer - Shepherd (mix),Female,7 weeks,10 lbs,11557,True
Nimble Pup - Quick - Waiting List Full,Boxer - Shepherd (mix),Male,7 weeks,10 lbs,11558,True
Nimble Pup - Sprightly - Waiting List Full,Boxer - Shepherd (mix),Male,7 weeks,10 lbs,11559,True
Novel - Waiting List Full,Labrador Retriever (mix),Female,2 years,35 lbs,11399,True
Ophelia - Waiting List Full,Shepherd - Labrador Retriever (mix),Female,2 years,40 lbs,11488,True
Ophelia Pup - Elsinore - Waiting List Full,Shepherd (mix),Female,9 weeks,10 lbs,11501,True
Ophelia Pup - Gertrude - Adopted!,Shepherd (mix),Female,9 weeks,10 lbs,11502,True
Ophelia Pup - Hamlet - Adopted!,Shepherd (mix),Male,9 weeks,10 lbs,11503,True
Ophelia Pup - Hecuba - Waiting List Full,Shepherd (mix),Female,9 weeks,10 lbs,11504,True
Ophelia Pup - Polonius - Adopted!,Shepherd (mix),Male,9 weeks,10 lbs,11505,True
Pimento - Waiting List Full,Labrador Retriever - Boxer (mix),Female,6 months,30 lbs,10775,True
Raja - Adopted!,Belgian Shepherd Malinois - Shepherd (mix),Female,3 years,56 lbs,10798,True
Rover - Adopted!,Hound (mix),Male,3 years,69 lbs,11436,True
Sake - Adopted!,Collie (mix),Female,6 months,22 lbs,11587,True
Savoy - Adopted!,Labrador Retriever - Terrier (mix),Female,1 year,35 lbs,11408,True
Savoy Pup - Harlem,Labrador Retriever (mix),Male,10 weeks,10 lbs,11480,False
Savoy Pup - Jazz,Labrador Retriever (mix),Female,10 weeks,10 lbs,11481,False
Savoy Pup - Prohibition,Labrador Retriever (mix),Male,10 weeks,10 lbs,11484,False
Spooky Pup - Ghost- Waiting List Full,Labrador Retriever - Shepherd (mix),Male,9 weeks,7 lbs,11671,True
Spooky Pup - Pumpkin- Waiting List Full,Labrador Retriever - Shepherd (mix),Female,9 weeks,10 lbs,11673,True
Spooky Pup - Spider- Waiting List Full,Labrador Retriever - Shepherd (mix),Male,9 weeks,10 lbs,11674,True
Tortilla - Waiting List Full,Labrador Retriever (mix),Female,2 years,40 lbs,11513,True
Tortilla Pup - Adobo - Adopted!,Labrador Retriever - Shepherd (mix),Male,8 weeks,10 lbs,11514,True
Tortilla Pup - Barbacoa - Adopted!,Labrador Retriever - Shepherd (mix),Female,8 weeks,10 lbs,11515,True
Tortilla Pup - Burrito - Adopted!,Labrador Retriever - Shepherd (mix),Male,8 weeks,10 lbs,11516,True
Tortilla Pup - Ceviche - Adopted!,Labrador Retriever - Shepherd (mix),Male,8 weeks,10 lbs,11517,True
Tortilla Pup - Cilantro - Adopted!,Labrador Retriever - Shepherd (mix),Male,8 weeks,10 lbs,11518,True
Tortilla Pup - Elote - Adopted!,Labrador Retriever - Shepherd (mix),Female,8 weeks,10 lbs,11519,True
Tortilla Pup - Enchilada - Adopted!,Labrador Retriever - Shepherd (mix),Female,8 weeks,10 lbs,11520,True
Tortilla Pup - Flauta - Adopted!,Labrador Retriever - Shepherd (mix),Female,8 weeks,10 lbs,11521,True
Tortilla Pup - Gordita - Adopted!,Labrador Retriever - Shepherd (mix),Female,8 weeks,10 lbs,11522,True
Tortilla Pup - Menudo - Adopted!,Labrador Retriever - Shepherd (mix),Male,8 weeks,10 lbs,11523,True
Tortilla Pup - Sopas - Adopted!,Labrador Retriever (mix),Female,8 weeks,10 lbs,11524,True
Tussock,Labrador Retriever - American Staffordshire Terrier (mix),Male,3 months,12 lbs,11347,False
Vivid - (Medical),Labrador Retriever - Terrier (mix),Female,2 years,28 lbs,11183,False
Waverly,Labrador Retriever - Pointer (mix),Female,4 years,65 lbs,11590,False
Wendy - Adopted!,Labrador Retriever - Border Collie (mix),Female,6 months,15 lbs,11645,True
Yucca - Adopted!,Shepherd (mix),Female,2 years,40 lbs,11182,True
Zinc Pup - Bronze - Waiting List Full,Labrador Retriever - Cattle Dog (mix),Male,8 weeks,7 lbs,11548,True
Zinc Pup - Element - Waiting List Full,Labrador Retriever - Cattle Dog (mix),Female,8 weeks,7 lbs,11549,True
Zinc Pup - Iron - Waiting List Full,Labrador Retriever - Cattle Dog (mix),Male,8 weeks,7 lbs,11550,True
Zinc Pup - Lead - Waiting List Full,Labrador Retriever - Cattle Dog (mix),Male,8 weeks,7 lbs,11551,True
Zinc Pup - Mineral - Waiting List Full,Labrador Retriever - Cattle Dog (mix),Male,8 weeks,10 lbs,11552,True
Zinc Pup - Tin - Waiting List Full,Labrador Retriever - Cattle Dog (mix),Male,8 weeks,7 lbs,11553,True
Zipper Pup - Clasp - Adoption In Process,Labrador Retriever (mix),Male,5 months,10 lbs,11491,False
Zoeey,Belgian Shepherd Malinois - Shepherd (mix),Female,2 years,45 lbs,11494,False
,Pointer - Collie (mix),Female,1 year,38 lbs,11633,
,Shepherd - Terrier (mix),Female,1 year,21 lbs,11337,
,Labrador Retriever (mix),Female,3 years,44 lbs,11269,
,Labrador Retriever (mix),Male,4 months,21 lbs,11086,
,Labrador Retriever (mix),Female,4 months,17 lbs,11087,
,Labrador Retriever (mix),Female,4 months,17 lbs,11088,
,Labrador Retriever (mix),Female,4 months,17 lbs,11089,
,Labrador Retriever (mix),Female,4 months,21 lbs,11090,
,Boxer - Pit Bull Terrier (mix),Female,1 year,55 lbs,11280,
